program,inst_count,cpi3,branch_accuracy
copy,131,2.671756,0.875000
fib rec,11957,3.253074,0.584536
alexnet,209068,2.846973,0.908271
knight tour,7201,2.922789,0.804926
bfs,3483,2.870227,0.709046
prio queue,1454,3.452545,0.707547
