program,inst_count,cpi5,branch_accuracy
copy,131,3.679389,0.875000
fib rec,11957,4.949569,0.584536
alexnet,209068,4.451188,0.907783
knight tour,7201,4.522011,0.795878
bfs,3483,4.317255,0.716707
prio queue,1454,5.362448,0.705882
